"","week","analytics","api","artificial intelligence","big data","clustering","data mining","data science","data scientist","data warehouse","deep learning","etl","excel","github","hadoop","iot","java","machine learning","matlab","minitab","modeling","python","R","regression","sql","statistician"
"213","2019-01-13",62,68,78,75,67,58,76,81,78,91,87,95,59,48,86,48,82,69,57,75,77,66,56,78,67
"214","2019-01-20",62,69,77,77,69,64,74,81,79,92,88,93,60,53,90,49,84,72,62,73,80,60,55,79,67
"215","2019-01-27",65,70,76,79,74,65,79,86,82,90,92,95,60,54,92,50,85,76,66,75,81,57,58,81,71
"216","2019-02-03",65,70,76,79,73,63,79,86,83,88,92,94,60,52,89,50,89,75,61,77,81,58,60,81,78
"217","2019-02-10",66,70,82,83,75,70,78,85,87,93,91,96,63,51,91,51,88,80,63,73,86,58,63,82,75
"218","2019-02-17",65,72,80,80,80,68,80,80,90,98,91,94,64,55,95,51,90,81,66,74,85,64,65,83,71
"219","2019-02-24",64,73,75,79,77,74,77,77,73,90,92,94,62,50,91,49,86,78,65,74,85,64,66,82,71
"220","2019-03-03",64,75,79,79,78,70,79,75,86,90,97,94,63,54,93,50,88,82,71,76,87,70,64,83,72
"221","2019-03-10",62,72,77,82,80,68,77,84,82,95,91,97,65,54,92,51,86,81,62,73,86,62,63,82,73
"222","2019-03-17",63,70,77,78,85,67,77,80,76,91,90,92,63,52,89,49,88,79,70,74,84,56,63,81,72
"223","2019-03-24",64,72,79,80,82,69,80,83,81,91,91,95,65,52,92,50,90,82,66,72,87,56,65,83,73
"224","2019-03-31",64,71,75,80,92,73,77,77,80,95,97,97,64,52,92,50,90,86,67,75,85,54,67,84,70
"225","2019-04-07",65,72,78,81,90,74,78,80,85,95,92,97,67,53,96,50,89,86,69,73,88,54,68,82,65
"226","2019-04-14",58,68,71,68,83,67,74,79,73,90,81,82,62,49,87,47,82,79,59,71,83,54,70,74,61
"227","2019-04-21",62,69,79,74,88,77,77,75,84,91,90,87,65,50,89,48,85,79,63,71,83,53,72,76,63
"228","2019-04-28",63,65,78,75,84,73,74,84,82,83,84,81,59,48,78,43,83,75,63,69,76,51,74,70,63
"229","2019-05-05",65,68,78,74,79,69,77,76,84,87,96,89,66,47,88,48,89,75,65,71,82,51,69,79,77
"230","2019-05-12",66,74,77,74,81,71,79,89,89,92,99,91,66,49,93,48,87,75,62,71,86,52,64,83,71
"231","2019-05-19",63,71,75,76,82,64,79,90,82,91,92,90,65,45,86,47,85,74,60,67,85,51,59,80,66
"232","2019-05-26",64,68,71,70,74,57,79,80,74,91,88,84,63,44,84,46,83,70,57,65,84,51,54,77,59
"233","2019-06-02",69,71,72,75,71,50,79,82,82,86,91,88,65,46,83,45,86,70,51,68,83,50,56,80,56
"234","2019-06-09",67,75,74,73,76,51,85,82,78,95,95,88,66,48,85,47,88,68,53,69,86,49,55,82,68
"235","2019-06-16",70,75,80,75,81,57,87,88,87,96,97,90,69,48,90,48,91,69,53,71,90,51,57,83,59
"236","2019-06-23",67,75,72,70,74,53,83,85,71,88,96,89,65,45,90,46,90,68,58,67,87,49,51,81,64
"237","2019-06-30",64,72,66,71,63,51,77,78,75,87,88,87,64,42,86,46,84,65,48,64,84,49,48,76,54
"238","2019-07-07",70,74,71,74,70,51,83,86,75,99,93,90,67,48,88,48,91,68,52,72,91,52,53,83,72
"239","2019-07-14",68,71,73,72,70,53,84,88,78,90,95,87,63,49,85,48,89,65,55,68,90,51,52,79,60
"240","2019-07-21",66,69,74,70,65,53,84,88,74,88,87,86,63,46,81,46,86,64,48,70,88,51,52,77,58
"241","2019-07-28",68,68,73,69,63,51,88,90,72,81,85,86,62,41,79,46,87,62,44,67,85,49,51,75,48
"242","2019-08-04",67,68,67,67,66,47,83,100,76,82,84,82,61,41,80,44,84,63,44,66,86,49,48,73,59
"243","2019-08-11",66,67,67,69,63,46,84,91,72,83,85,82,64,42,77,43,83,60,55,69,83,50,48,72,71
"244","2019-08-18",69,72,73,75,67,55,95,96,79,89,88,89,68,43,92,49,92,64,56,70,89,51,52,82,72
"245","2019-08-25",67,72,75,76,67,60,95,94,78,90,97,89,67,44,92,49,92,68,58,72,88,50,53,79,57
"246","2019-09-01",67,71,73,75,67,60,96,95,73,90,92,91,67,41,88,49,89,70,63,71,90,51,52,76,64
"247","2019-09-08",70,78,83,79,76,66,100,98,91,93,94,95,71,47,90,50,96,76,67,74,96,52,59,81,71
"248","2019-09-15",71,100,86,87,80,69,98,99,87,96,99,95,72,48,97,53,100,81,66,76,97,53,64,83,72
"249","2019-09-22",69,84,86,82,81,66,95,96,87,96,97,95,72,49,96,51,99,83,70,76,99,54,66,85,66
"250","2019-09-29",70,68,76,83,78,61,91,91,90,88,88,95,68,43,88,48,90,80,65,74,92,52,65,80,67
"251","2019-10-06",71,72,81,80,82,62,94,89,83,93,88,96,71,42,91,49,93,83,65,73,100,52,69,82,77
"252","2019-10-13",70,70,84,80,79,68,92,87,92,97,97,95,74,45,91,51,97,86,68,73,98,51,70,84,65
"253","2019-10-20",69,70,79,85,85,69,92,83,89,97,92,94,69,45,89,50,91,85,66,72,96,53,71,82,69
"254","2019-10-27",65,64,76,87,80,60,87,83,77,91,88,87,66,41,87,46,86,79,62,71,91,50,66,74,59
"255","2019-11-03",72,69,82,94,85,70,93,90,86,93,100,96,70,45,92,49,95,85,63,76,98,53,70,84,60
"256","2019-11-10",70,73,82,90,88,76,90,88,94,94,93,93,74,41,93,49,94,84,66,75,97,51,72,83,67
"257","2019-11-17",71,74,87,95,100,83,93,92,97,96,94,95,73,45,96,49,99,88,67,75,98,51,77,87,75
"258","2019-11-24",63,67,82,99,87,72,83,84,87,85,84,86,65,41,88,46,89,78,61,63,88,52,66,76,67
"259","2019-12-01",68,72,80,83,89,79,93,86,89,95,93,93,68,42,86,46,94,82,69,70,91,52,77,81,69
"260","2019-12-08",66,70,81,80,89,72,86,85,85,93,92,91,68,42,87,46,94,75,57,70,92,50,73,79,68
"261","2019-12-15",42,43,72,70,55,61,79,78,55,76,47,38,41,28,68,29,71,55,37,60,56,47,52,27,31
